title,sku,brand,category,product_type,description,price,quantity,color,size,material,image_url
AuroraFlow Vacuum Bottle 001,AU-WAT-001,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 001 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,21.34,17,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-001.jpg
NovaStride Running Shoes 002,NO-RUN-002,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 002 is designed for reliable everyday use with a red finish and practical running shoes positioning.,22.69,24,Red,10,Mesh Synthetic,https://example.com/images/no-run-002.jpg
LumaDesk LED Table Lamp 003,LU-TAB-003,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 003 is designed for reliable everyday use with a white finish and practical table lamp positioning.,24.04,31,White,Standard,Metal Plastic,https://example.com/images/lu-tab-003.jpg
PeakTrail Travel Backpack 004,PE-TRA-004,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 004 is designed for reliable everyday use with a black finish and practical travel bag positioning.,25.39,38,Black,28L,Polyester,https://example.com/images/pe-tra-004.jpg
ErgoCraft Ergonomic Chair 005,ER-OFF-005,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 005 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,26.74,45,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-005.jpg
Chrona Smart Watch 006,CH-WAT-006,Chrona,Fashion Accessories,watch,Chrona Smart Watch 006 is designed for reliable everyday use with a silver finish and practical watch positioning.,28.09,52,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-006.jpg
AuroraFlow Vacuum Bottle 007,AU-WAT-007,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 007 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,29.44,59,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-007.jpg
NovaStride Running Shoes 008,NO-RUN-008,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 008 is designed for reliable everyday use with a red finish and practical running shoes positioning.,30.79,66,Red,10,Mesh Synthetic,https://example.com/images/no-run-008.jpg
LumaDesk LED Table Lamp 009,LU-TAB-009,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 009 is designed for reliable everyday use with a white finish and practical table lamp positioning.,32.14,73,White,Standard,Metal Plastic,https://example.com/images/lu-tab-009.jpg
PeakTrail Travel Backpack 010,PE-TRA-010,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 010 is designed for reliable everyday use with a black finish and practical travel bag positioning.,33.49,80,Black,28L,Polyester,https://example.com/images/pe-tra-010.jpg
